year,PLZ4,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,106,0.56834,20303,3,6,2
1998,109,0.56872,98678,3,6,2
1998,110,0.56962,69065,3,6,2
1998,112,0.56838,17507,3,6,2
1998,113,0.57025,14720,3,6,2
1998,115,0.56892,78202,3,6,2
1998,116,0.56945,7329,3,6,2
1998,118,0.56899,18382,3,6,2
1998,121,0.56907,21533,3,6,2
1998,123,0.56852,17236,3,6,2
1998,125,0.56932,31545,3,6,2
1998,127,0.56834,16256,3,6,2
1998,130,0.56834,14055,3,6,2
1998,132,0.56907,107567,3,6,2
1998,144,0.74166,33973,5,9,3
1998,145,0.78373,34952,5,9,3
1998,146,0.62292,37259,4,7,2
1998,147,0.76733,12714,5,9,3
1998,155,0.75339,5766,5,9,3
1998,156,0.76033,28327,5,9,3
1998,158,0.74574,14027,5,9,3
1998,159,0.75253,19773,5,9,3
1998,160,0.75924,10876,5,9,3
1998,161,0.75552,16773,5,9,3
1998,162,0.75904,5012,5,9,3
1998,164,0.74534,18911,5,9,3
1998,166,0.75167,44942,5,9,3
1998,168,0.7668,25069,5,9,3
1998,170,0.71797,39327,4,8,2
1998,172,0.73352,25114,4,8,2
1998,173,0.72971,17194,4,8,2
1998,174,0.7282,12886,4,8,2
1998,176,0.73621,8658,5,9,3
1998,177,0.73439,16106,5,9,3
1998,179,0.71541,43940,4,8,2
1998,180,0.71915,24657,4,8,2
1998,181,0.72644,13258,4,8,2
1998,182,0.728,9044,4,8,2
1998,183,0.73163,10219,4,8,2
1998,184,0.73063,18203,4,8,2
1998,185,0.72854,9656,4,8,2
1998,187,0.80209,17925,5,9,3
1998,189,0.81015,11244,5,10,3
1998,190,0.81137,23536,5,10,3
1998,191,0.79645,13223,5,9,3
1998,192,0.80617,21740,5,9,3
1998,193,0.80274,11479,5,9,3
1998,194,0.82254,12023,5,10,3
1998,196,0.80939,19867,5,10,3
1998,197,0.82044,14367,5,10,3
1998,198,0.82117,14039,5,10,3
1998,199,0.81947,10772,5,10,3
1998,262,0.79025,48738,5,9,3
1998,263,0.80672,5530,5,9,3
1998,268,0.81227,17407,5,10,3
1998,269,0.80052,21815,5,9,3
1998,270,0.83543,25255,5,10,3
1998,272,0.83937,2983,5,10,3
1998,273,0.83615,19099,5,10,3
1998,274,0.84343,12339,5,10,3
1998,276,0.83752,15061,5,10,3
1998,277,0.84824,4859,5,10,3
1998,278,0.83736,23360,5,10,3
1998,279,0.84671,13321,5,10,3
1998,282,0.8262,65431,5,10,3
1998,289,0.83767,10589,5,10,3
1998,290,0.83368,16163,5,10,3
1998,292,0.84068,9917,5,10,3
1998,294,0.81829,19090,5,10,3
1998,295,0.83476,16857,5,10,3
1998,297,0.77432,35948,5,9,3
1998,299,0.79664,26111,5,9,3
1998,304,0.70877,44477,4,8,2
1998,305,0.71565,58766,4,8,2
1998,309,0.77961,18661,5,9,3
1998,310,0.82212,1872,5,10,3
1998,311,0.77787,8281,5,9,3
1998,313,0.76308,25577,5,9,3
1998,314,0.76919,19967,5,9,3
1998,315,0.77313,4778,5,9,3
1998,317,0.7666,20271,5,9,3
1998,318,0.7652,10160,5,9,3
1998,319,0.77165,1128,5,9,3
1998,320,0.816,8289,5,10,3
1998,322,0.8094,26857,5,10,3
1998,323,0.78445,22297,5,9,3
1998,324,0.79438,5046,5,9,3
1998,325,0.78774,11606,5,9,3
1998,410,0.76684,25889,5,9,3
1998,412,0.76684,8588,5,9,3
1998,415,0.76698,104162,5,9,3
1998,417,0.76698,53686,5,9,3
1998,420,0.76694,32891,5,9,3
1998,422,0.76684,13107,5,9,3
1998,424,0.7669,78986,5,9,3
1998,427,0.76688,36815,5,9,3
1998,428,0.76686,54977,5,9,3
1998,429,0.76684,8519,5,9,3
1998,431,0.7671,69636,5,9,3
1998,432,0.76739,15746,5,9,3
1998,434,0.76695,44261,5,9,3
1998,435,0.7673,55894,5,9,3
1998,441,0.7929,25414,5,9,3
1998,442,0.82617,32893,5,10,3
1998,443,0.83406,23097,5,10,3
1998,444,0.79601,10515,5,9,3
1998,445,0.82033,8598,5,10,3
1998,446,0.7939,7661,5,9,3
