year,PLZ2,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,1,0.68043,1259229,4,8,2
1998,2,0.88445,409873,5,10,3
1998,3,0.79764,288033,5,9,3
1998,4,0.85132,1289623,5,9,3
1998,6,1,1258915,5,10,3
1998,7,0.77389,564718,5,9,3
1998,8,0.79674,573462,5,9,3
1998,9,0.81698,767679,5,9,3
1998,10,0.85814,433281,5,9,3
1998,12,0.856,1479208,5,9,3
1998,13,0.85811,1244722,5,9,3
1998,14,0.76615,1356668,5,9,3
1998,15,0.77393,655969,5,9,3
1998,16,0.88265,626322,5,10,3
1998,17,0.98773,581393,5,10,3
1998,18,0.90956,618818,5,10,3
1998,19,0.92035,406915,5,10,3
1998,20,0.32418,132718,1,2,1
1998,21,0.36878,1686390,2,4,2
1998,22,0.32096,1169745,1,2,1
1998,23,0.64848,752002,4,8,2
1998,24,0.61927,1140347,4,8,2
1998,25,0.50576,711894,3,6,2
1998,26,0.67935,1213415,4,8,2
1998,27,0.67803,888506,4,8,2
1998,28,0.53966,757898,3,6,2
1998,29,0.68311,530967,4,8,2
1998,30,0.42552,936712,3,5,2
1998,31,0.55221,1037581,4,7,2
1998,32,0.46068,889807,3,5,2
1998,33,0.45348,1108222,3,5,2
1998,34,0.49659,819405,3,6,2
1998,35,0.45722,940872,3,5,2
1998,36,0.45977,540579,3,5,2
1998,37,0.59068,733732,4,7,2
1998,38,0.54617,1175192,4,7,2
1998,39,0.97702,770825,5,10,3
1998,40,0.21929,1014864,1,1,1
1998,41,0.46142,973797,3,6,2
1998,42,0.53774,894428,3,6,2
1998,44,0.60107,1276839,4,8,2
1998,45,0.53983,1567971,4,7,2
1998,46,0.54718,902019,4,7,2
1998,47,0.65294,1337873,4,8,2
1998,48,0.34057,1228744,2,3,2
1998,49,0.56957,1278765,4,7,2
1998,50,0.36713,1109855,2,4,2
1998,51,0.35555,1099312,2,3,2
1998,52,0.57076,963106,4,7,2
1998,53,0.33739,1303772,2,3,2
1998,54,0.53585,530471,3,6,2
1998,55,0.40317,834693,2,4,2
1998,56,0.54443,871401,4,7,2
1998,57,0.45691,595049,3,5,2
1998,58,0.59048,925133,4,7,2
1998,59,0.50645,1154230,3,6,2
1998,60,0.23567,653680,1,2,1
1998,61,0.06244,469691,1,1,1
1998,63,0.38797,1319334,2,4,2
1998,64,0.27113,830986,1,2,1
1998,65,0.24034,1117845,1,2,1
1998,66,0.67142,1247538,4,8,2
1998,67,0.56776,1062729,4,7,2
1998,68,0.36708,619980,2,4,2
1998,69,0.19538,520713,1,1,1
1998,70,0.14358,833806,1,1,1
1998,71,0.16155,1035038,1,1,1
1998,72,0.33957,1093358,2,3,2
1998,73,0.25923,1037778,1,2,1
1998,74,0.33808,1109830,2,3,2
1998,75,0.3767,504679,2,4,2
1998,76,0.29693,1171111,1,2,1
1998,77,0.40442,501714,2,4,2
1998,78,0.45731,773388,3,5,2
1998,79,0.41601,1083429,2,4,2
1998,80,2.9e-4,652474,1,1,1
1998,81,0,850723,1,1,1
1998,82,0.0228,760236,1,1,1
1998,83,0.25165,790985,1,2,1
1998,84,0.33987,726754,2,3,2
1998,85,0.0662,1182238,1,1,1
1998,86,0.36366,1227760,2,3,2
1998,87,0.36665,550658,2,4,2
1998,88,0.27822,886910,1,2,1
1998,89,0.3563,803240,2,3,2
1998,90,0.45774,923983,3,5,2
1998,91,0.30366,1039324,1,2,1
1998,92,0.45861,531109,3,5,2
1998,93,0.35342,622744,2,3,2
1998,94,0.49549,737194,3,6,2
1998,95,0.48637,498107,3,6,2
1998,96,0.48115,569693,3,6,2
1998,97,0.38965,1087589,2,4,2
1998,98,0.8619,286671,5,10,3
1998,99,0.89845,947506,5,10,3
1999,1,0.71672,1259229,4,8,2
1999,2,0.92091,409873,5,10,3
1999,3,0.81081,288033,5,9,3
1999,4,0.87406,1289623,5,9,3
1999,6,1,1258915,5,10,3
1999,7,0.77592,564718,5,9,3
1999,8,0.8817,573462,5,10,3
1999,9,0.85476,767679,5,9,3
1999,10,0.83329,433281,5,9,3
1999,12,0.83222,1479208,5,9,3
1999,13,0.83329,1244722,5,9,3
1999,14,0.77622,1356668,5,9,3
1999,15,0.80769,655969,5,9,3
1999,16,0.89869,626322,5,10,3
1999,17,0.99334,581393,5,10,3
1999,18,0.91435,618818,5,10,3
1999,19,0.93379,406915,5,10,3
1999,20,0.35404,132718,2,3,2
1999,21,0.40111,1686390,2,4,2
1999,22,0.34718,1169745,1,2,1
1999,23,0.66196,752002,4,8,2
1999,24,0.60886,1140347,4,7,2
1999,25,0.5285,711894,3,6,2
1999,26,0.68642,1213415,4,8,2
1999,27,0.67395,888506,4,8,2
1999,28,0.52722,757898,3,6,2
1999,29,0.67868,530967,4,8,2
1999,30,0.46345,936712,3,5,2
1999,31,0.55594,1037581,4,7,2
1999,32,0.48517,889807,3,5,2
1999,33,0.47731,1108222,3,5,2
1999,34,0.51733,819405,3,6,2
1999,35,0.47041,940872,3,5,2
1999,36,0.49718,540579,3,6,2
1999,37,0.6173,733732,4,8,2
1999,38,0.53674,1175192,3,6,2
1999,39,0.99276,770825,5,10,3
1999,40,0.26273,1014864,1,1,1
1999,41,0.47657,973797,3,5,2
1999,42,0.55349,894428,3,6,2
1999,44,0.61971,1276839,4,8,2
1999,45,0.57117,1567971,4,7,2
1999,46,0.57169,902019,4,7,2
1999,47,0.66004,1337873,4,8,2
1999,48,0.39537,1228744,2,4,2
1999,49,0.57168,1278765,4,7,2
1999,50,0.39251,1109855,2,4,2
1999,51,0.38199,1099312,2,4,2
1999,52,0.57803,963106,4,7,2
1999,53,0.37172,1303772,2,3,2
1999,54,0.55663,530471,4,7,2
1999,55,0.42482,834693,2,4,2
1999,56,0.56088,871401,4,7,2
1999,57,0.47801,595049,3,5,2
1999,58,0.58342,925133,4,7,2
