year,PLZ3,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,243,0.595,99274,4,7,2
1998,244,0.64565,4717,4,8,2
1998,245,0.66748,193006,4,8,2
1998,246,0.55615,65806,3,6,2
1998,247,0.5675,76947,3,6,2
1998,248,0.62267,106387,4,7,2
1998,249,0.70964,182145,4,8,2
1998,253,0.48194,110063,2,4,2
1998,254,0.43722,192531,2,3,2
1998,255,0.61729,115996,4,7,2
1998,256,0.69639,4562,4,8,2
1998,257,0.69363,117913,4,8,2
1998,258,0.58447,113923,4,7,2
1998,259,0.57404,56906,3,6,2
1998,261,0.58889,286319,4,7,2
1998,262,0.60706,57236,4,7,2
1998,263,0.75646,126884,5,9,3
1998,264,0.70198,107403,4,8,2
1998,265,0.76979,76901,5,9,3
1998,266,0.74089,178099,4,8,2
1998,267,0.6854,109898,4,8,2
1998,268,0.7109,183495,4,8,2
1998,269,0.60846,87180,4,7,2
1998,272,0.54986,116234,3,6,2
1998,273,0.6097,150888,4,7,2
1998,274,0.64452,152109,4,8,2
1998,275,0.90417,111593,5,10,3
1998,276,0.75599,120955,5,9,3
1998,277,0.66899,215825,4,8,2
1998,278,0.5905,20902,4,7,2
1998,281,0.58861,72847,4,7,2
1998,282,0.58843,160583,4,7,2
1998,283,0.58843,196379,4,7,2
1998,287,0.58619,145063,4,7,2
1998,288,0.54285,183026,3,6,2
1998,292,0.65971,69963,4,8,2
1998,293,0.646,151672,4,8,2
1998,294,0.87394,78493,5,10,3
1998,295,0.66354,89281,4,8,2
1998,296,0.63835,141558,4,8,2
1998,301,0.49533,104200,3,5,2
1998,304,0.49532,150951,3,5,2
1998,305,0.49528,134721,3,5,2
1998,306,0.4953,151018,3,5,2
1998,308,0.4917,195097,3,5,2
1998,309,0.48873,200725,2,4,2
1998,310,0.58194,73845,4,7,2
1998,311,0.55548,221786,3,6,2
1998,312,0.54751,140771,3,6,2
1998,313,0.4973,76097,3,5,2
1998,315,0.59302,177891,4,7,2
1998,316,0.6753,119884,4,8,2
1998,317,0.63646,105176,4,7,2
1998,318,0.60417,122131,4,7,2
1998,320,0.50514,67402,3,5,2
1998,321,0.50071,109889,3,5,2
1998,322,0.50573,72072,3,5,2
1998,323,0.55206,92705,3,6,2
1998,324,0.54678,160613,3,6,2
1998,325,0.52726,89491,3,5,2
1998,326,0.50768,123199,3,5,2
1998,327,0.49592,110279,3,5,2
1998,328,0.51217,64157,3,5,2
1998,330,0.54001,46864,3,6,2
1998,331,0.51847,318486,3,5,2
1998,333,0.46353,181232,2,4,2
1998,334,0.46872,77434,2,4,2
1998,336,0.56048,246840,3,6,2
1998,337,0.51888,161771,3,5,2
1998,338,0.47968,75595,2,4,2
1998,341,0.72554,202758,4,8,2
1998,342,0.41536,175392,2,3,2
1998,343,0.44837,139976,2,3,2
1998,344,0.54252,133141,3,6,2
1998,345,0.55105,118944,3,6,2
1998,346,0.53619000000000006,49194,3,5,2
1998,350,0.51608,165338,3,5,2
1998,351,0.55224,35426,3,6,2
1998,352,0.5045,100085,3,5,2
1998,353,0.53427,139177,3,5,2
1998,354,0.52676,161150,3,5,2
1998,355,0.46865,91598,2,4,2
1998,356,0.52453,117882,3,5,2
1998,357,0.51078,130216,3,5,2
1998,360,0.46294,103385,2,4,2
1998,361,0.47456,161182,2,4,2
1998,362,0.49166,101455,2,4,2
1998,363,0.52416,103052,3,5,2
1998,364,0.72639,71505,4,8,2
1998,370,0.54524,117796,3,6,2
1998,371,0.59174,176664,4,7,2
1998,372,0.58233,92401,4,7,2
1998,373,0.78287,100386,5,9,3
1998,374,0.55364,52769,3,6,2
1998,375,0.61228,84844,4,7,2
1998,376,0.62967,108872,4,7,2
1998,381,0.4853,349127,2,4,2
1998,382,0.64084,128547,4,8,2
1998,383,0.62944,128372,4,7,2
1998,384,0.39895,177903,2,3,2
1998,385,0.5602,117125,3,6,2
1998,386,0.64625,89617,4,8,2
1998,387,0.64643,42717,4,8,2
1998,388,0.90977,141784,5,10,3
1998,391,0.8599,289082,5,10,3
1998,392,0.93522,128841,5,10,3
1998,393,0.82525,152057,5,10,3
1998,394,0.99619,45838,5,10,3
1998,395,1,83224,5,10,3
1998,396,0.96167,71783,5,10,3
1998,402,0.33765,122480,1,1,1
1998,404,0.33902,226985,1,1,1
1998,405,0.33773,158612,1,1,1
1998,406,0.3433,220227,1,2,1
1998,407,0.34793,159300,1,2,1
1998,408,0.34413,127260,1,2,1
1998,410,0.66251,78342,4,8,2
1998,411,0.66267,139305,4,8,2
1998,412,0.6623,48788,4,8,2
1998,413,0.46755,153512,2,4,2
1998,414,0.35785,155256,1,2,1
1998,415,0.35854,187622,1,2,1
1998,417,0.52263,77719,3,5,2
1998,418,0.70665,133253,4,8,2
1998,421,0.6768,91601,4,8,2
1998,422,0.6767,89128,4,8,2
1998,423,0.67491,177839,4,8,2
1998,424,0.47486,58902,2,4,2
1998,425,0.35248,109767,1,2,1
1998,426,0.65808,144905,4,8,2
1998,427,0.41144,75553,2,3,2
1998,428,0.60205,112128,4,7,2
1998,429,0.34359,34605,1,2,1
1998,441,0.64207,109019,4,8,2
1998,442,0.64146,188004,4,8,2
1998,443,0.64171,294749,4,8,2
1998,445,0.59718,161277,4,7,2
1998,446,0.77278,156441,5,9,3
1998,447,0.53634,127963,3,6,2
1998,448,0.53799,239386,3,6,2
1998,451,0.52259,183568,3,5,2
1998,452,0.52172,231568,3,5,2
1998,453,0.52361,167623,3,5,2
1998,454,0.40294,172904,2,3,2
1998,455,0.44703,80734,2,3,2
1998,456,0.60258,144204,4,7,2
1998,457,0.60173,250184,4,7,2
1998,458,0.8083,261805,5,9,3
1998,459,0.60493,75381,4,7,2
1998,460,0.69604,57794,4,8,2
1998,461,0.69574,151185,4,8,2
1998,462,0.61377,195990,4,7,2
1998,463,0.4921,157994,3,5,2
1998,464,0.5439,172707,3,6,2
1998,465,0.52942,166349,3,5,2
1998,470,0.81035,77602,5,9,3
1998,471,0.8096,233680,5,9,3
1998,472,0.80885,189587,5,9,3
1998,474,0.53306,175466,3,5,2
1998,475,0.59097,171248,4,7,2
1998,476,0.59599,132634,4,7,2
1998,477,0.59784,8422,4,7,2
1998,478,0.58388,269716,4,7,2
1998,479,0.52317,79518,3,5,2
1998,481,0.28649,319109,1,1,1
1998,482,0.4406,179591,2,3,2
1998,483,0.43344,160867,2,3,2
1998,484,0.528,195209,3,5,2
1998,485,0.54954,139883,3,6,2
1998,486,0.46541,150083,2,4,2
1998,487,0.46655,84002,2,4,2
1998,490,0.57348,165459,3,6,2
1998,491,0.57537,168918,3,6,2
1998,492,0.57297,37200,3,6,2
1998,493,0.58612,126476,4,7,2
1998,494,0.55123,196683,3,6,2
1998,495,0.53603,157472,3,5,2
1998,496,0.76964,148927,5,9,3
1998,497,0.61198,147350,4,7,2
1998,498,0.62037,130280,4,7,2
1998,501,0.45377,176040,2,4,2
1998,502,0.44548,109908,2,3,2
1998,503,0.45052,196764,2,4,2
1998,506,0.45007,43584,2,4,2
1998,507,0.44994,265904,2,4,2
1998,508,0.45006,115083,2,4,2
1998,509,0.45007,202572,2,4,2
1998,510,0.4498,139665,2,4,2
1998,511,0.44997,310154,2,4,2
1998,513,0.39496,184446,2,3,2
1998,514,0.33433,140048,1,1,1
1998,515,0.45452,153055,2,4,2
1998,516,0.54563,98114,3,6,2
1998,517,0.548,73830,3,6,2
1998,520,0.57964,249995,4,7,2
1998,521,0.5827,123399,4,7,2
1998,522,0.58105,111834,4,7,2
1998,523,0.58372,194977,4,7,2
1998,524,0.58715,153459,4,7,2
1998,525,0.71094,129442,4,8,2
1998,531,0.26277,255923,1,1,1
1998,532,0.26337,78184,1,1,1
1998,533,0.44344,147343,2,3,2
1998,534,0.52956,74374,3,5,2
1998,535,0.54221,101503,3,6,2
1998,536,0.45015,72664,2,4,2
1998,537,0.448,196167,2,3,2
1998,538,0.48543,250375,2,4,2
1998,539,0.54068,127239,3,6,2
1998,542,0.60456,120303,4,7,2
1998,543,0.5442,94679,3,6,2
1998,544,0.54744,98792,3,6,2
1998,545,0.55671,134389,3,6,2
1998,546,0.6251,82308,4,7,2
1998,551,0.32346,219281,1,1,1
1998,552,0.40619,240566,2,3,2
1998,554,0.48257,136281,2,4,2
1998,555,0.62607,135496,4,7,2
1998,556,0.68576,25778,4,8,2
1998,557,0.78922,77291,5,9,3
1998,560,0.55549,113724,3,6,2
1998,561,0.58588,82316,4,7,2
1998,562,0.59257,141687,4,7,2
1998,563,0.58216,107120,4,7,2
1998,564,0.59038,116202,4,7,2
1998,565,0.55721,108452,3,6,2
1998,566,0.58498000000000006,61875,4,7,2
1998,567,0.5964,87792,4,7,2
1998,568,0.58502,52233,4,7,2
1998,570,0.44312,101597,2,3,2
1998,572,0.44287,135522,2,3,2
1998,573,0.48913,101672,2,4,2
1998,574,0.48385,97868,2,4,2
1998,575,0.67969,95085,4,8,2
1998,576,0.63853,63305,4,8,2
1998,580,0.72265,140087,4,8,2
1998,581,0.72179,48660,4,8,2
1998,582,0.50085,108507,3,5,2
1998,583,0.44735,87397,2,3,2
1998,584,0.44667,95995,2,3,2
1998,585,0.67214,135378,4,8,2
1998,586,0.67648,126757,4,8,2
1998,587,0.64369,127138,4,8,2
1998,588,0.67201,55214,4,8,2
1998,590,0.72779,178952,4,8,2
1998,591,0.58813,111660,4,7,2
1998,592,0.45427,90780,2,4,2
1998,593,0.46515,183599,2,4,2
1998,594,0.54395,169823,3,6,2
1998,595,0.5062,180145,3,5,2
1998,596,0.5099,21430,3,5,2
1998,597,0.54954,38359,3,6,2
1998,598,0.55165,102716,3,6,2
1998,599,0.56087,76766,3,6,2
1998,603,0.35271,174566,1,2,1
1998,604,0.35175,234493,1,2,1
1998,605,0.35614,244621,1,2,1
1998,611,0.39686,158785,2,3,2
1998,612,0.2532,119630,1,1,1
1998,613,0.06804,90233,1,1,1
1998,614,0.06809,101043,1,1,1
1998,630,0.75938,131051,5,9,3
1998,631,0.3594,155996,1,2,1
1998,632,0.35557,78159,1,2,1
1998,633,0.35165,82697,1,2,1
1998,634,0.47042,161957,2,4,2
1998,635,0.44544,188154,2,3,2
1998,636,0.43418,153764,2,3,2
1998,637,0.45737,167982,2,4,2
1998,638,0.4697,144494,2,4,2
1998,639,0.55038,55080,3,6,2
1998,642,0.30633,160826,1,1,1
1998,643,0.37804,182327,1,2,1
1998,644,0.39195,20723,1,2,1
1998,645,0.38929,136490,1,2,1
1998,646,0.37964,143087,1,2,1
1998,647,0.5215,81513,3,5,2
1998,648,0.37026,106020,1,2,1
1998,651,0.47673,96163,2,4,2
1998,652,0.4247,209530,2,3,2
1998,653,0.33919,103038,1,1,1
1998,654,0.35461,165849,1,2,1
1998,655,0.44364,169260,2,3,2
1998,656,0.49911,52927,3,5,2
1998,657,0.13866,121556,1,1,1
1998,658,0.13605,82989,1,1,1
1998,659,0.35113,116533,1,2,1
1998,661,0.71076,179993,4,8,2
1998,662,0.71127,82991,4,8,2
1998,663,0.63302,120757,4,7,2
1998,664,0.55383,140459,3,6,2
1998,665,0.72876,141166,4,8,2
1998,666,0.62915,160896,4,7,2
1998,667,0.65369,156064,4,8,2
1998,668,0.68375,143591,4,8,2
1998,669,0.78215,121621,5,9,3
1998,670,0.65318,193825,4,8,2
1998,671,0.42046,123092,2,3,2
1998,672,0.53797,138368,3,6,2
1998,673,0.51347,130959,3,5,2
1998,674,0.52542,119218,3,5,2
1998,675,0.66458,135060,4,8,2
1998,676,0.76806,139847,5,9,3
1998,677,0.68779,55196,4,8,2
1998,678,0.63834,27164,4,7,2
1998,681,0.54134,98200,3,6,2
1998,682,0.53892,94681,3,6,2
1998,683,0.54093,121495,3,6,2
1998,685,0.36003,82575,1,2,1
1998,686,0.37841,62726,1,2,1
1998,687,0.34761,147299,1,2,1
1998,688,0.34987,13004,1,2,1
1998,691,0.28489,257047,1,1,1
1998,692,0.3474,120866,1,2,1
1998,694,0.37924,108419,1,2,1
1998,695,0.36065,34381,1,2,1
1998,701,0.2814,137973,1,1,1
1998,703,0.28174,139531,1,1,1
1998,704,0.28143,135058,1,1,1
1998,705,0.2813,185203,1,1,1
1998,706,0.27927,27817,1,1,1
1998,707,0.30559,133853,1,1,1
1998,708,0.28969,74371,1,1,1
1998,710,0.23758,173921,1,1,1
1998,711,0.24156,118123,1,1,1
1998,712,0.25908,154997,1,1,1
1998,713,0.38531,134012,1,2,1
1998,714,0.38455,25101,1,2,1
1998,715,0.38716,115286,1,2,1
1998,716,0.29673,205448,1,1,1
1998,717,0.30313,108150,1,1,1
1998,720,0.34787,92460,1,2,1
1998,721,0.38711,206761,1,2,1
1998,722,0.45875,138231,2,4,2
1998,723,0.55548,93073,3,6,2
1998,724,0.54873,127845,3,6,2
1998,725,0.46829,122751,2,4,2
1998,726,0.27499,116426,1,1,1
1998,727,0.42766,135539,2,3,2
1998,728,0.41817,60272,2,3,2
