"gisd_score","kreis_id","kreis_name","year"
0.6522,"16051","Erfurt, Stadt",1998
0.64255,"16051","Erfurt, Stadt",1999
0.61959,"16051","Erfurt, Stadt",2000
0.59438,"16051","Erfurt, Stadt",2001
0.5751,"16051","Erfurt, Stadt",2002
0.55493,"16051","Erfurt, Stadt",2003
0.62545,"16051","Erfurt, Stadt",2004
0.64683,"16051","Erfurt, Stadt",2005
0.62035,"16051","Erfurt, Stadt",2006
0.68255,"16051","Erfurt, Stadt",2007
0.68839,"16051","Erfurt, Stadt",2008
0.66789,"16051","Erfurt, Stadt",2009
0.68578,"16051","Erfurt, Stadt",2010
0.65638,"16051","Erfurt, Stadt",2011
0.62212,"16051","Erfurt, Stadt",2012
0.58817,"16051","Erfurt, Stadt",2013
0.58562,"16051","Erfurt, Stadt",2014
0.63993,"16051","Erfurt, Stadt",2015
0.5632,"16051","Erfurt, Stadt",2016
0.68614,"16051","Erfurt, Stadt",2017
0.66916,"16051","Erfurt, Stadt",2018
0.65055,"16051","Erfurt, Stadt",2019
0.79326,"16052","Gera, Stadt",1998
0.7694,"16052","Gera, Stadt",1999
0.71696,"16052","Gera, Stadt",2000
0.74632,"16052","Gera, Stadt",2001
0.67239,"16052","Gera, Stadt",2002
0.69427,"16052","Gera, Stadt",2003
0.72376,"16052","Gera, Stadt",2004
0.77372,"16052","Gera, Stadt",2005
0.77711,"16052","Gera, Stadt",2006
0.8495,"16052","Gera, Stadt",2007
0.86146,"16052","Gera, Stadt",2008
1,"16052","Gera, Stadt",2009
0.91099,"16052","Gera, Stadt",2010
0.91768,"16052","Gera, Stadt",2011
0.85179,"16052","Gera, Stadt",2012
0.80812,"16052","Gera, Stadt",2013
0.82163,"16052","Gera, Stadt",2014
0.85102,"16052","Gera, Stadt",2015
0.81538,"16052","Gera, Stadt",2016
0.85822,"16052","Gera, Stadt",2017
0.96383,"16052","Gera, Stadt",2018
1,"16052","Gera, Stadt",2019
0,"16053","Jena, Stadt",1998
0,"16053","Jena, Stadt",1999
0,"16053","Jena, Stadt",2000
0,"16053","Jena, Stadt",2001
0,"16053","Jena, Stadt",2002
0,"16053","Jena, Stadt",2003
0,"16053","Jena, Stadt",2004
0,"16053","Jena, Stadt",2005
0,"16053","Jena, Stadt",2006
0,"16053","Jena, Stadt",2007
0,"16053","Jena, Stadt",2008
0,"16053","Jena, Stadt",2009
0,"16053","Jena, Stadt",2010
0,"16053","Jena, Stadt",2011
0,"16053","Jena, Stadt",2012
0,"16053","Jena, Stadt",2013
0,"16053","Jena, Stadt",2014
0,"16053","Jena, Stadt",2015
0,"16053","Jena, Stadt",2016
0,"16053","Jena, Stadt",2017
0,"16053","Jena, Stadt",2018
0,"16053","Jena, Stadt",2019
0.66815,"16054","Suhl, Stadt",1998
0.61665,"16054","Suhl, Stadt",1999
0.73132,"16054","Suhl, Stadt",2000
0.59529,"16054","Suhl, Stadt",2001
0.55207,"16054","Suhl, Stadt",2002
0.47852,"16054","Suhl, Stadt",2003
0.51921,"16054","Suhl, Stadt",2004
0.56282,"16054","Suhl, Stadt",2005
0.70519,"16054","Suhl, Stadt",2006
0.66635,"16054","Suhl, Stadt",2007
0.6396,"16054","Suhl, Stadt",2008
0.68757,"16054","Suhl, Stadt",2009
